"inst_id","year","h","club","metric"
"I100116408",2006,2.89099962680147,"club1","n_publication"
"I100116408",2007,2.89761786108036,"club1","n_publication"
"I100116408",2008,2.28305368788353,"club1","n_publication"
"I100116408",2009,2.48955652295925,"club1","n_publication"
"I100116408",2010,2.71803795442435,"club1","n_publication"
"I100116408",2011,2.54342409062348,"club1","n_publication"
"I100116408",2012,2.40444163046317,"club1","n_publication"
"I100116408",2013,2.29369439792317,"club1","n_publication"
"I100116408",2014,2.19648103466066,"club1","n_publication"
"I100116408",2015,2.17798519317663,"club1","n_publication"
"I100116408",2016,2.17425588214193,"club1","n_publication"
"I100116408",2017,2.1188672938939,"club1","n_publication"
"I100116408",2018,2.05880967004806,"club1","n_publication"
"I100116408",2019,2.02300575029979,"club1","n_publication"
"I100116408",2020,1.94669033825875,"club1","n_publication"
"I100116408",2021,1.89297711350336,"club1","n_publication"
"I100116408",2022,1.85086153291679,"club1","n_publication"
"I100116408",2023,1.83894706381321,"club1","n_publication"
"I100116408",2024,1.75641986541628,"club1","n_publication"
"I100116408",2025,1.69032666148631,"club1","n_publication"
"I100236772",2006,2.06478396121015,"club1","n_publication"
"I100236772",2007,2.20457949859277,"club1","n_publication"
"I100236772",2008,2.09334305436563,"club1","n_publication"
"I100236772",2009,1.9369481715875,"club1","n_publication"
"I100236772",2010,1.88576716167324,"club1","n_publication"
"I100236772",2011,1.75526435826645,"club1","n_publication"
"I100236772",2012,1.46519412573488,"club1","n_publication"
"I100236772",2013,1.57005932942511,"club1","n_publication"
"I100236772",2014,1.45986652925106,"club1","n_publication"
"I100236772",2015,1.45107997197671,"club1","n_publication"
"I100236772",2016,1.43810349882717,"club1","n_publication"
"I100236772",2017,1.25745677317526,"club1","n_publication"
"I100236772",2018,1.28049272418147,"club1","n_publication"
"I100236772",2019,1.23525872340387,"club1","n_publication"
"I100236772",2020,1.14882382482039,"club1","n_publication"
"I100236772",2021,1.121190352657,"club1","n_publication"
"I100236772",2022,1.174458996864,"club1","n_publication"
"I100236772",2023,1.06593486617486,"club1","n_publication"
"I100236772",2024,1.03884170156243,"club1","n_publication"
"I100236772",2025,0.869230006599694,"club1","n_publication"
"I100352790",2006,2.14076745205354,"club1","n_publication"
"I100352790",2007,2.17580172884695,"club1","n_publication"
"I100352790",2008,1.98233577217363,"club1","n_publication"
"I100352790",2009,1.68842213910674,"club1","n_publication"
"I100352790",2010,1.85432869503685,"club1","n_publication"
"I100352790",2011,1.85644120785272,"club1","n_publication"
"I100352790",2012,1.64964652609433,"club1","n_publication"
"I100352790",2013,1.73811705698519,"club1","n_publication"
"I100352790",2014,1.76093898400013,"club1","n_publication"
"I100352790",2015,1.69105516120194,"club1","n_publication"
"I100352790",2016,1.61857273232439,"club1","n_publication"
"I100352790",2017,1.61513997706492,"club1","n_publication"
"I100352790",2018,1.61807823165583,"club1","n_publication"
"I100352790",2019,1.59824672904662,"club1","n_publication"
"I100352790",2020,1.54485843143057,"club1","n_publication"
"I100352790",2021,1.44039237659474,"club1","n_publication"
"I100352790",2022,1.50001162799127,"club1","n_publication"
"I100352790",2023,1.43468443243388,"club1","n_publication"
"I100352790",2024,1.4095543102621,"club1","n_publication"
"I100352790",2025,1.46119394889787,"club1","n_publication"
"I101993903",2006,1.60210732734386,"club1","n_publication"
"I101993903",2007,2.0061189950019,"club1","n_publication"
"I101993903",2008,1.95071680478945,"club1","n_publication"
"I101993903",2009,1.8424648592194,"club1","n_publication"
"I101993903",2010,1.86503521748892,"club1","n_publication"
"I101993903",2011,1.76461347235736,"club1","n_publication"
"I101993903",2012,1.75319507462727,"club1","n_publication"
"I101993903",2013,1.6452635509111,"club1","n_publication"
"I101993903",2014,1.70907637313162,"club1","n_publication"
"I101993903",2015,1.5681299808809,"club1","n_publication"
"I101993903",2016,1.71005889762997,"club1","n_publication"
"I101993903",2017,1.63815554183916,"club1","n_publication"
"I101993903",2018,1.61657433249289,"club1","n_publication"
"I101993903",2019,1.51855834447206,"club1","n_publication"
"I101993903",2020,1.49484113695147,"club1","n_publication"
"I101993903",2021,1.50905500495016,"club1","n_publication"
"I101993903",2022,1.40203287770239,"club1","n_publication"
"I101993903",2023,1.44065237665901,"club1","n_publication"
"I101993903",2024,1.40577584319749,"club1","n_publication"
"I101993903",2025,1.3733526634876,"club1","n_publication"
"I10627620",2006,0.666940720776908,"club1","n_publication"
"I10627620",2007,0.94929038368023,"club1","n_publication"
"I10627620",2008,1.21546361382681,"club1","n_publication"
"I10627620",2009,1.28773698144114,"club1","n_publication"
"I10627620",2010,1.64030126101319,"club1","n_publication"
"I10627620",2011,1.81698886002494,"club1","n_publication"
"I10627620",2012,1.73444764473119,"club1","n_publication"
"I10627620",2013,1.75819862143956,"club1","n_publication"
"I10627620",2014,1.62962274642645,"club1","n_publication"
"I10627620",2015,1.61290198502709,"club1","n_publication"
"I10627620",2016,1.60787976217862,"club1","n_publication"
"I10627620",2017,1.51552986751726,"club1","n_publication"
"I10627620",2018,1.55124539683372,"club1","n_publication"
"I10627620",2019,1.54989155049042,"club1","n_publication"
"I10627620",2020,1.54025176471224,"club1","n_publication"
"I10627620",2021,1.4909691791262,"club1","n_publication"
"I10627620",2022,1.47575702884149,"club1","n_publication"
"I10627620",2023,1.48008932689586,"club1","n_publication"
"I10627620",2024,1.46912911503817,"club1","n_publication"
"I10627620",2025,1.45434873174433,"club1","n_publication"
"I106980716",2006,1.18131458273731,"club1","n_publication"
"I106980716",2007,1.3581274987358,"club1","n_publication"
"I106980716",2008,0.890311004826196,"club1","n_publication"
"I106980716",2009,0.718410293654173,"club1","n_publication"
"I106980716",2010,1.24945650097396,"club1","n_publication"
"I106980716",2011,1.19659073683935,"club1","n_publication"
"I106980716",2012,1.0965218303227,"club1","n_publication"
"I106980716",2013,1.37417290020189,"club1","n_publication"
"I106980716",2014,1.32627686967047,"club1","n_publication"
