name,wikidata_qid,founded_year,status,age_group
Institut Supérieur des Techniques Médicales de Bukavu,Q131630078,NA,done,NA
Institut Supérieur des Technologies de l'Information et de la Communication,Q19544834,NA,done,NA
Institut Supérieur des Études Technologiques de Gafsa,Q3152608,1981,done,1960_1989
Institut Supérieur des Études Technologiques de Nabeul,Q3152611,1995,done,1990_2009
Institut Supérieur des Études Technologiques en Communications de Tunis,Q3152614,1998,done,1990_2009
Institut Supérieur du Génie Appliqué,Q27961614,1981,done,1960_1989
Institut Supérieur du Sport et de l’Éducation Physique de Sfax,Q12193485,1969,done,1960_1989
Institut Supérieur d’Art Dramatique et d’Animation Culturelle,Q30294160,1985,done,1960_1989
Institut Supérieur d’Electronique et des Réseaux & Télécommunications,Q30294386,NA,done,NA
"Institut Supérieur d’Informatique, Programmation et Analyse",Q30294152,NA,done,NA
Institut Universitaire LES COURS SONOU,Q99753700,2007,done,1990_2009
Institut Universitaire Polytechnique de Mongo,Q3152772,2002,done,1990_2009
Institut Universitaire Siantou,Q115780415,1991,done,1990_2009
Institut Universitaire d'Abidjan,Q3152654,2004,done,1990_2009
Institut Universitaire de la Côte,Q30294327,2002,done,1990_2009
Institut Universitaire du Bénin,Q30294304,NA,done,NA
Institut Universitaire du Congo,Q30294217,NA,done,NA
Institut Universitaire du Golfe de Guinée,Q97041885,1993,done,1990_2009
Institut de Statistiques et d’Études Économiques du Burundi,Q133260324,NA,done,NA
Institut des Hautes Études Bancaires et Financières,Q30294363,NA,done,NA
"Institut des Hautes Études Bancaires, Financières et Managériale",Q30294378,NA,done,NA
Institut des Hautes Études de Management,Q3152162,1988,done,1960_1989
Institut des Hautes Études de Tunis,Q30294263,1998,done,1990_2009
Institut supérieur de documentation,Q3152560,1981,done,1960_1989
Institut supérieur de la Magistrature,Q3152577,1962,done,1960_1989
Institute For Leadership And Communication Studies,Q30294170,NA,done,NA
Institute and Observatory of Geophysics of Antananarivo,Q136448352,1887,done,pre_1960
Institute for Educational Planning and Administration,NA,NA,done,NA
"Institute for Meteorological Training and Research, WMO Regional Training Centre",Q139771373,NA,done,NA
"Institute for Poverty, Land and Agrarian Studies",Q106412094,1995,done,1990_2009
Institute for Security Studies,Q18126017,1991,done,1990_2009
Institute of Accountancy Arusha,Q30294401,NA,done,NA
Institute of Aviation Engineering & Technology,NA,NA,done,NA
Institute of Development Management,Q122382325,1974,done,1960_1989
Institute of Finance Management,Q30294230,1972,done,1960_1989
Institute of Legal Practice and Development,Q30294347,NA,done,NA
Institute of Petroleum Studies Kampala,Q24236563,2013,done,post_2010
Institute of Rural Development Planning,Q30294232,NA,done,NA
Institute of Tax Administration,Q137796028,1982,done,1960_1989
Instituto Nacional de Estatística,Q1412194,1911,done,pre_1960
Instituto Superior Cristão,Q30294189,NA,done,NA
Instituto Superior Monitor,Q30294220,NA,done,NA
Instituto Superior Politecnico de Tete,Q30294237,2005,done,1990_2009
Instituto Superior Politécnico Metropolitano de Angola,Q30266536,NA,done,NA
Instituto Superior Politécnico de Gaza,Q30294199,2005,done,1990_2009
Instituto Superior Politécnico de Manica,Q10302679,2005,done,1990_2009
Instituto Superior Politécnico de Songo,NA,NA,done,NA
Instituto Superior Politécnico de Tecnologia e Ciências,Q100955832,2005,done,1990_2009
Instituto Superior de Administração e Finanças,Q131934371,NA,done,NA
Instituto Superior de Artes e Cultura,Q30294204,NA,done,NA
Instituto Superior de Ciencias Sociais e Relações Internacionais,Q30294274,NA,done,NA
Instituto Superior de Ciencias de Saude,Q30294206,2004,done,1990_2009
Instituto Superior de Ciências Económicas e Empresariais,Q30294358,1991,done,1990_2009
Instituto Superior de Ciências da Educação de Benguela,Q130533271,NA,done,NA
Instituto Superior de Ciências e Tecnologia Alberto Chipande,Q30294191,NA,done,NA
Instituto Superior de Ciências e Tecnologia de Moçambique,Q30294207,NA,done,NA
Instituto Superior de Comunicação e Imagem de Moçambique,Q30294208,NA,done,NA
Instituto Superior de Transportes e Comunicaçõe,Q30294215,NA,done,NA
Instituts Supérieurs des Professions Infirmières et Techniques de Santé,Q104480990,NA,done,NA
Inter-University Council for East Africa,Q16910628,1980,done,1960_1989
International Academy Mohammed VI of Civil Aviation,NA,NA,done,NA
International Academy for Engineering and Media Science,Q30294261,NA,done,NA
International Centre for Genetic Engineering and Biotechnology,Q6049095,1994,done,1990_2009
International Crops Research Institute for the Semi-Arid Tropics,Q262250,1972,done,1960_1989
International Institute for Higher Education in Morocco,Q6051094,1988,done,1960_1989
International Institute for Water and Environmental Engineering,Q3075348,2006,done,1990_2009
International Islamic Center for Population Studies and Research,Q61934068,1975,done,1960_1989
International Medical and Technological University,Q6051985,1997,done,1990_2009
International School of Dakar,Q6052947,1983,done,1960_1989
International University & Polytechnic of Benin,Q30294307,NA,done,NA
International University Bamenda,NA,NA,done,NA
International University of Africa,Q1667493,1977,done,1960_1989
International University of East Africa,Q6054150,2011,done,post_2010
International University of Grand Bassam,Q30266641,1991,done,1990_2009
International University of Management,Q1667019,1994,done,1990_2009
International University of Rabat,Q3551785,2010,done,post_2010
Isa Kaita College of Education,Q107477957,1991,done,1990_2009
Islamic University College,Q6082651,2004,done,1990_2009
Islamic University in Uganda,Q5158982,1988,done,1960_1989
Islamic University of Niger,Q890735,1986,done,1960_1989
James Hope University,Q107724156,2013,done,post_2010
Jamhuriya University of Science and Technology,Q17064749,2011,done,post_2010
Jaramogi Oginga Odinga University of Science and Technology,Q16851003,2009,done,1990_2009
Jazeera University,Q100955858,2010,done,post_2010
Jean Piaget University of Angola,Q10387844,2000,done,1990_2009
Jean Piaget University of Cape Verde,Q1707547,2001,done,1990_2009
Jigawa State College of Education Gumel,NA,NA,done,NA
Jigawa State College of Nursing Sciences,Q134291891,1996,done,1990_2009
"Jigawa State Polytechnic, Dutse",Q108607234,2007,done,1990_2009
Jigjiga University,Q6192552,2005,done,1990_2009
Jimma University,Q6199299,1999,done,1990_2009
John Garang Memorial University of Science and Technology,Q6234826,2006,done,1990_2009
Jomo Kenyatta University of Agriculture and Technology,Q1702696,1994,done,1990_2009
Jordan University College,Q15229727,NA,done,NA
Joseph Ayo Babalola University,Q915400,2006,done,1990_2009
Joseph Sarwuan Tarka University Makurdi,NA,NA,done,NA
Joshua Mqabuko Nkomo Polytechnic,Q6290079,1981,done,1960_1989
Julius Nyerere University of Kankan,NA,NA,done,NA
KCA University,Q6326561,1989,done,1960_1989
KCMC University,Q136448349,NA,done,NA
Kabale University,Q6343817,2001,done,1990_2009
Kabarak University,Q6343885,2002,done,1990_2009
Kaduna Polytechnic,Q23019261,1956,done,pre_1960
Kaduna State University,Q6345764,2004,done,1990_2009
Kafrelsheikh University,Q4115998,2006,done,1990_2009
Kaimosi Friends University,Q90920549,NA,done,NA
Kampala International University,Q6359113,2001,done,1990_2009
Kampala University,Q6359130,1999,done,1990_2009
Kano State University of Technology,Q16852238,2000,done,1990_2009
Karary University,Q6368619,1996,done,1990_2009
Karatina University,Q15036625,2013,done,post_2010
Karl Kumm University,Q107724127,2003,done,1990_2009
Karume Institute of Science and Technology,Q135739137,2006,done,1990_2009
Kassala University,Q736962,1990,done,1990_2009
Katanga Methodist University,Q30265691,1951,done,pre_1960
Katsina State Institute of Technology and Management,NA,NA,done,NA
Kebbi State Polytechnic,Q138662877,2013,done,post_2010
Kebbi State University of Science and Technology,Q17109112,2006,done,1990_2009
"Kenule Beeson Saro-Wiwa Polytechnic, Bori",Q7338304,1992,done,1990_2009
Kenya Highlands University,Q16999351,1970,done,1960_1989
Kenya Institute of Curriculum Development,Q137943588,2013,done,post_2010
Kenya Institute of Special Education,Q137943941,1986,done,1960_1989
Kenya Institute of Surveying and Mapping,Q136663702,1994,done,1990_2009
Kenya Medical Training College,Q16916920,1990,done,1990_2009
Kenya Methodist University,Q6392603,1997,done,1990_2009
Kenya School of TVET,Q30624340,1978,done,1960_1989
Kenyatta University,Q46756,1985,done,1960_1989
Khartoum International Institute for Arabic Languague,Q30294211,NA,done,NA
Kibabii University,Q24236523,2010,done,post_2010
Kigali Independent University,Q3551790,1996,done,1990_2009
King Ceasor University,Q116486082,2011,done,post_2010
King Faisal University of N'Djamena,NA,NA,done,NA
Kings University,Q84558370,2015,done,post_2010
Kingsley Ozumba Mbadiwe University,Q125018042,2016,done,post_2010
Kirinyaga University,Q28223356,2011,done,post_2010
Kiriri Women's University of Science and Technology,Q6415328,2002,done,1990_2009
Kisii University,Q15036631,2013,done,post_2010
Kismayo University,Q3551613,2005,done,1990_2009
Klintaps University College of Health and Allied Sciences,Q140119329,2017,done,post_2010
Kofi Annan International Peacekeeping Training Centre,Q1778357,1998,done,1990_2009
Koforidua Technical University,Q1406935,1997,done,1990_2009
Kogi State University,Q15043613,1999,done,1990_2009
"Kogi State University, Kabba",Q131293676,NA,done,NA
Koitaleel Samoei University College,NA,NA,done,NA
Kongo University,Q6429212,1990,done,1990_2009
Kotebe University of Education,Q50039998,1959,done,pre_1960
Kumasi Technical University,Q1791968,1954,done,pre_1960
Kumi University,Q6443863,2004,done,1990_2009
Kwame Nkrumah University,Q1654025,1952,done,pre_1960
Kwame Nkrumah University of Science and Technology,Q1654025,1952,done,pre_1960
Kwara State Polytechnic,Q24232007,1973,done,1960_1989
Kwara State University,Q16734211,2009,done,1990_2009
Kwararafa University,Q24944759,2005,done,1990_2009
Kyambogo University,Q2753927,2003,done,1990_2009
LEAP Science and Maths Schools,Q20981668,1987,done,1960_1989
Ladoke Akintola University of Technology,Q6469794,1990,done,1990_2009
Lafoole University,Q6471734,1973,done,1960_1989
Lagos State University,Q849611,1983,done,1960_1989
Lagos State University of Science and Technology,Q23216911,1977,done,1960_1989
Laikipia University,Q15036634,2013,done,post_2010
Lancaster University Ghana,Q30266490,1964,done,1960_1989
Landmark University,Q16733756,2011,done,post_2010
Larbi Ben M'hidi University of Oum El Bouaghi,Q30294257,2001,done,1990_2009
Lead City University,Q16733761,2005,done,1990_2009
Lebanese International University of Mauritania,NA,NA,done,NA
Levy Mwanawasa Medical University,Q104847179,2019,done,post_2010
Liberia Institute Of Public Administration,Q139771635,1969,done,1960_1989
Libya Institute for Advanced Studies,NA,NA,done,NA
Libya Open University,Q12185356,1987,done,1960_1989
Libyan Academy,Q12183555,1988,done,1960_1989
Libyan Centre for Dental Research,Q136448424,2023,done,post_2010
Libyan International Medical University,Q3648090,2007,done,1990_2009
Light University of Bujumbur,Q3551434,2000,done,1990_2009
Lilongwe University of Agriculture and Natural Resources,Q30260552,2010,done,post_2010
Lira University,Q24907953,2012,done,post_2010
LivingStone International University,Q17067633,2012,done,post_2010
Local Government Training Institute,Q116959417,1952,done,pre_1960
Lower Shabelle University,Q126208847,2010,done,post_2010
Loyola University of Congo,Q97186173,NA,done,NA
Lukenya University,Q101110418,2015,done,post_2010
Lupane State University,Q6704659,2005,done,1990_2009
Lusaka Apex Medical University,Q48804537,2008,done,1990_2009
Luxor University,Q68167558,2019,done,post_2010
Lyceum College,Q6707245,1917,done,pre_1960
Lúrio University,Q10387849,2006,done,1990_2009
Maakhir University,Q6721043,2009,done,1990_2009
Maasai Mara University,Q17037289,2013,done,post_2010
Machakos School,Q28223293,1939,done,pre_1960
Machakos University,Q28223358,1957,done,pre_1960
Madda Walabu University,Q20982433,2006,done,1990_2009
Madina Academy,NA,NA,done,NA
Madonna University,Q6728390,1937,done,pre_1960
Mahatma Gandhi Institute,Q61931657,1970,done,1960_1989
Mahatma Gandhi University,Q6733535,1983,done,1960_1989
Maitama Sule University Kano,NA,NA,done,NA
Makerere University,Q261506,1922,done,pre_1960
Malawi Adventist University,Q6741451,1969,done,1960_1989
Malawi School of Government,Q138860339,1966,done,1960_1989
Malawi University of Science and Technology,Q25104234,2012,done,post_2010
Management College of Southern Africa,Q6746662,1995,done,1990_2009
Mandela Institute for Development Studies,Q19787384,2010,done,post_2010
Mangosuthu University of Technology,Q6588080,1979,done,1960_1989
Manicaland State University of Applied Sciences,Q131875322,2016,done,post_2010
Manouba University,Q3551710,2000,done,1990_2009
Mansoura National University,Q114817413,2022,done,post_2010
Mansoura University,Q4116236,1972,done,1960_1989
Margaret Lawrence University,Q129527756,2022,done,post_2010
Marien Ngouabi University,Q3551438,1971,done,1960_1989
Marondera University of Agricultural Sciences and Technology,Q131876904,2015,done,post_2010
Maryam Abacha American University of Niger,Q115611259,NA,done,NA
Maseno University,Q3551629,1991,done,1990_2009
Mashreq University,Q12236083,2003,done,1990_2009
Masinde Muliro University of Science and Technology,Q6783284,2007,done,1990_2009
Mateur Higher School of Agriculture,Q30261794,1956,done,pre_1960
Matrouh University,Q12204540,2018,done,post_2010
Mauritius Institute of Education,Q30294301,NA,done,NA
Mbarara University of Science and Technology,Q514030,1989,done,1960_1989
Mbeya University of Science and Technology,Q15252472,2012,done,post_2010
McPherson University,Q16733836,2012,done,post_2010
Media Council of Kenya,Q6805474,NA,done,NA
Mediterranean School of Business,Q3304063,2002,done,1990_2009
Mekdela Amba University,Q119285478,2015,done,post_2010
Mekelle University,Q6810561,1991,done,1990_2009
Menoufia University,Q1163280,1976,done,1960_1989
Meru University of Science and Technology,Q6820757,1979,done,1960_1989
Methodist University College Ghana,Q99286969,NA,done,NA
Methodist University of Angola,Q10387851,2007,done,1990_2009
Metropolitan International University,Q104480466,2017,done,post_2010
Mfantsiman Girls Secondary School,Q19605635,1960,done,1960_1989
Michael Okpara University of Agriculture,Q6833225,1992,done,1990_2009
Middlesex University,Q1760791,1973,done,1960_1989
Midlands State University,Q6842554,1993,done,1990_2009
Midocean University,Q131692629,2020,done,post_2010
Midrand Graduate Institute,Q6842964,1989,done,1960_1989
Military Technical College,Q376281,NA,done,NA
Milpark Education,NA,NA,done,NA
Minia University,Q6865113,1976,done,1960_1989
Misr International University,Q6875934,1996,done,1990_2009
Misr University for Science and Technology,Q14565823,1996,done,1990_2009
Mission de Promotion des Materiaux Locaux,Q133811133,NA,done,NA
Misurata University,Q45819,1984,done,1960_1989
Mizan Tepi University,Q6884590,2006,done,1990_2009
Modern Academy,Q6888540,2000,done,1990_2009
Modern Academy for Engineering and Technology,NA,NA,done,NA
Modern University for Information and Technology,Q30293656,NA,done,NA
Modibbo Adama University of Technology,Q100943682,NA,done,NA
Mogadishu University,Q721115,1997,done,1990_2009
Mohamed I University,Q3551445,1978,done,1960_1989
Mohamed-Cherif Messaadia University,Q18785812,1998,done,1990_2009
Mohammed V University,Q1360237,1957,done,pre_1960
Moi University,Q13122809,1984,done,1960_1989
Monarch University,Q137302554,NA,done,NA
Moshi Co-operative University,Q15256455,NA,done,NA
Mouloud Mammeri University of Tizi-Ouzou,Q3551456,1977,done,1960_1989
Mount Kenya University,Q15045626,1996,done,1990_2009
Mount Meru University,Q6922167,2003,done,1990_2009
Mountain Top University,Q22079989,2015,done,post_2010
Mountains of the Moon University,Q595684,2005,done,1990_2009
Mountcrest University College,Q15260094,2008,done,1990_2009
Muhimbili University of Health and Allied Sciences,Q6933030,2007,done,1990_2009
Mukuba University,Q18378066,1974,done,1960_1989
Mulago School of Nursing and Midwifery,Q30287931,NA,done,NA
Multimedia University of Kenya,Q16954019,2013,done,post_2010
Mulungushi University,Q3643633,2008,done,1990_2009
Muni University,Q6936076,2012,done,post_2010
Murang'a University of Technology,Q18391408,2016,done,post_2010
Muslim University of Morogoro,Q6942984,2004,done,1990_2009
Mutare Polytechnic,Q107750591,NA,done,NA
Muteesa I Royal University,Q6943779,2007,done,1990_2009
Mzumbe University,Q1240270,2001,done,1990_2009
Mzuzu University,Q477625,1997,done,1990_2009
Nahda College,Q17068763,2014,done,post_2010
Nahda University,Q12204463,2006,done,1990_2009
Nalikule College of Education,Q138859802,2017,done,post_2010
Nalut University,Q102347739,2017,done,post_2010
Namibia Institute of Pathology,Q30261943,2000,done,1990_2009
Namibia University of Science and Technology,Q488696,1996,done,1990_2009
Nasarawa State University,Q6966612,2001,done,1990_2009
National Advanced School of Public Works,NA,NA,done,NA
National Archives of Senegal,Q2860558,1913,done,pre_1960
National Banking College,Q110057126,NA,done,NA
National Center for Educational Research and Development,Q64744500,NA,done,NA
National Council for Curriculum and Assessment,Q118192977,2007,done,1990_2009
National Defence College Kenya,NA,NA,done,NA
National Engineering School of Tunis,Q3578098,1968,done,1960_1989
National Examinations Council,Q60790996,NA,done,NA
National Higher School of Autonomous Systems Technology,Q138654939,2023,done,post_2010
National Higher School of Mathematics,Q132803485,2022,done,post_2010
National Higher School of Statistics and Applied Economy,Q3054960,1970,done,1960_1989
National Higher School of Technology and Engineering Annaba,Q135983353,2023,done,post_2010
National Institute for Nigerian Languages,Q104224385,1993,done,1990_2009
National Institute for Research in Education,Q137204396,1962,done,1960_1989
National Institute of Arts,Q463281,1899,done,pre_1960
National Institute of Public Administration,Q5917466,1958,done,pre_1960
National Institute of Transport,Q30261957,1975,done,1960_1989
National Library of Somalia,Q8247531,1975,done,1960_1989
National Nurses Association of Kenya,Q30288022,NA,done,NA
National Open University of Nigeria,Q6974654,1983,done,1960_1989
National Polytechnic University Institute Bamenda,Q135739070,1996,done,1990_2009
National Postgraduate Medical College of Nigeria,Q25053746,1979,done,1960_1989
National Ribat University,Q6978113,2000,done,1990_2009
National School of Architecture,Q3578078,1980,done,1960_1989
National School of Artificial Intelligence,Q116871000,NA,done,NA
National School of Built and Ground Works Engineering,NA,NA,done,NA
National School of Business and Management in Settat,Q3578117,1994,done,1990_2009
National School of Computer Science,Q3578204,1968,done,1960_1989
"National School of Electronics and Telecommunications of Sfax, Tunisia",NA,NA,done,NA
National School of Mineral Industry,Q3578123,1972,done,1960_1989
National Telecommunications Institute,Q30294330,NA,done,NA
National Universities Commission,Q6979211,1962,done,1960_1989
National University,Q421739,1972,done,1960_1989
National University of Equatorial Guinea,Q3291919,1995,done,1990_2009
National University of Lesotho,Q1410332,1945,done,pre_1960
National University of Science and Technology,Q4315005,1918,done,pre_1960
"National University of Sciences, Technologies, Engineering and Mathematics",Q83870793,2014,done,post_2010
Nazi Boni University,Q3551817,1997,done,1990_2009
Ndejje University,Q15261310,1992,done,1990_2009
Nelson Mandela African Institution of Science and Technology,Q15261581,2010,done,post_2010
Nelson Mandela University,Q1331614,2005,done,1990_2009
New Generation University College,Q17071332,2002,done,1990_2009
New Giza University,Q54874555,2016,done,post_2010
Newgate University Minna,Q136222229,2025,done,post_2010
Niger Delta University,Q7032755,2000,done,1990_2009
Niger State Polytechnic,Q30294324,1977,done,1960_1989
Nigeria Police Academy,Q109767453,1980,done,1960_1989
Nigerian Army College of Education,NA,NA,done,NA
Nigerian Defence Academy,Q7032895,1964,done,1960_1989
Nigerian Institute of Transport Technology,Q116052700,1984,done,1960_1989
Nigerian University Games Association,Q7033028,1966,done,1960_1989
Nigerian University of Technology and Management,Q134716511,2019,done,post_2010
Nile University,Q1146856,2006,done,1990_2009
Nile University of Nigeria,Q16957865,2009,done,1990_2009
Nile University of Science and Technology,Q125522674,2017,done,post_2010
Nile Valley University,Q7036988,1990,done,1990_2009
Njala University,Q7042386,1964,done,1960_1989
Nkumba University,Q7042657,1994,done,1990_2009
Nnamdi Azikiwe University,Q13140900,1991,done,1990_2009
North Gate University,Q17108252,2011,done,post_2010
"North-Eastern University, Gombe",Q114355731,2022,done,post_2010
North-West University,Q1998811,2004,done,1990_2009
Northrise University,Q2001151,2003,done,1990_2009
Novena University,Q7064806,2005,done,1990_2009
Nugaal University,Q3551763,2004,done,1990_2009
"Nurses' Training College, Ho",NA,NA,done,NA
Obafemi Awolowo University,Q2008672,1962,done,1960_1989
Obong University,Q7075280,1997,done,1990_2009
Obour Institutes,Q30294318,NA,done,NA
October 6 University,Q99289456,NA,done,NA
October High Institute For Enginnering and Technology,Q30294245,NA,done,NA
October University of Modern Sciences and Arts,NA,NA,done,NA
Oda Bultum University,Q47526619,NA,done,NA
Oduduwa University,Q7078366,2009,done,1990_2009
Ogun State Institute of Technology Igbesa,Q138860375,2005,done,1990_2009
Olabisi Onabanjo University,Q7082913,1982,done,1960_1989
Olusegun Agagu University of Science and Technology,Q17109279,2008,done,1990_2009
Omar Al-Mukhtar University,Q328423,1961,done,1960_1989
Omar Bongo University,Q3551470,1970,done,1960_1989
Omdurman Ahlia University,Q7089954,1986,done,1960_1989
Omdurman Islamic University,Q7089955,1901,done,pre_1960
One World University,Q7093426,NA,done,NA
Open University of Kenya,Q133811864,2023,done,post_2010
Open University of Mauritius,Q7096263,2012,done,post_2010
Open University of Sudan,Q7096264,2002,done,1990_2009
Open University of Tanzania,Q7755195,1992,done,1990_2009
Open University of West Africa,Q7096265,2012,done,post_2010
Open Window School of Visual Communication,NA,NA,done,NA
Oran Graduate School of Economics,Q136565004,NA,done,NA
Oromia State University,Q104243342,2009,done,1990_2009
"Osun State College of Education, Ila-Orangun",NA,NA,done,NA
Osun State University,Q7108022,2006,done,1990_2009
Pan Africa Christian University,Q7129540,1978,done,1960_1989
Pan African Christian University College,Q2048800,NA,done,NA
Pan African Institute for Development,Q97041900,1969,done,1960_1989
Pan African Institute for Development Regional Institute for West Africa,Q135738577,1969,done,1960_1989
Pan-African University,Q7129474,2002,done,1990_2009
Pan-Atlantic University,Q7129474,2002,done,1990_2009
Paul University Awka,Q135111735,2009,done,1990_2009
Pedagogical University,Q290662,1986,done,1960_1989
Pentecost University College,Q2069397,2003,done,1990_2009
Pharaohs Higher Institute of Computer Information Systems and Management,Q30294369,NA,done,NA
Pharos University in Alexandria,Q7180855,2006,done,1990_2009
Philomath University,Q107724280,2021,done,post_2010
Pigier Bénin,Q30294305,1997,done,1990_2009
Pigier Côte d'Ivoire,Q3388305,1956,done,pre_1960
Pioneer International University,Q30266511,2012,done,post_2010
Plasma University,Q100955854,2005,done,1990_2009
Plateau State University,Q7202223,2005,done,1990_2009
Polytechnic School of Algiers,Q3578167,1925,done,pre_1960
Poma International Business University,Q100955834,2007,done,1990_2009
Port Said University,Q1564902,2010,done,post_2010
Presbyterian University of East Africa,Q100946475,NA,done,NA
"Presbyterian University, Ghana",Q1566634,2003,done,1990_2009
Private University of Angola,Q7246173,2000,done,1990_2009
Production Management Institute of Southern Africa,Q30294156,NA,done,NA
Puntland State University,Q7260603,2004,done,1990_2009
Pwani University,Q17110774,2007,done,1990_2009
Radford University College,Q18393060,2009,done,1990_2009
Raya University,Q39058892,2015,done,post_2010
Red Sea University,Q12204407,1994,done,1990_2009
Redeemer's University,Q7305700,2005,done,1990_2009
Reformed Church University,Q20981310,2012,done,post_2010
Regenesys Business School,Q17152129,1997,done,1990_2009
Regent Business School,Q7308077,NA,done,NA
Regent University College of Science and Technology,Q2137488,2003,done,1990_2009
Regentropfen University College,Q134251058,2016,done,post_2010
Regional Centre for Training in Aerospace Surveys,Q30262067,1972,done,1960_1989
Regional Maritime University,Q7309095,2007,done,1990_2009
Renaissance University,Q7312455,2005,done,1990_2009
Rhema University,Q7320383,2009,done,1990_2009
Rhodes University,Q377757,1904,done,pre_1960
Riara University,Q17110806,2012,done,post_2010
Rift Valley University,Q7333290,2000,done,1990_2009
Rivers State University,Q7338305,1972,done,1960_1989
Rongo University,Q90571011,2011,done,post_2010
Royal Centre for Remote Sensing,Q2946015,1989,done,1960_1989
Ruaha Catholic University,Q20746315,NA,done,NA
Rumbek University,Q2892503,2010,done,post_2010
Rusangu University,Q7380634,2002,done,1990_2009
Rwanda Polytechnic,NA,NA,done,NA
SIMAD University,Q17070468,1999,done,1990_2009
"SS Peter and Paul Major Seminary, Bodija",Q135983365,1908,done,pre_1960
Sa'adatu Rimi College of Education,Q103519800,1981,done,1960_1989
Sa'adu Zungur University,Q16839159,2011,done,post_2010
Sabratha University,Q28450926,2015,done,post_2010
Sadat Academy for Management Sciences,Q8973195,1981,done,1960_1989
Salem University,Q7404130,1888,done,pre_1960
Samara University,Q4406400,1942,done,pre_1960
Sanaag University of Science and Technology,Q7415442,2009,done,1990_2009
Scott Christian University,Q24236287,1962,done,1960_1989
Sebastian Kolowa Memorial University,Q15275772,2012,done,post_2010
Sebha University,Q3648100,1983,done,1960_1989
Sedibeng TVET College,Q61931857,2002,done,1990_2009
Sefako Makgatho Health Sciences University,Q19843419,2014,done,post_2010
Senghor University,Q3551492,1990,done,1990_2009
Shendi University,Q7494219,1994,done,1990_2009
Sheppard and Lapsley Presbyterian University of Congo,Q30294403,NA,done,NA
Sicambeni Rural University,Q7507387,1908,done,pre_1960
Sidi Mohamed Ben Abdellah University,Q3551490,1975,done,1960_1989
Sikkim Manipal University,Q7513814,1995,done,1990_2009
Sinai University,Q7521677,2006,done,1990_2009
Sinnar University,Q7524660,1977,done,1960_1989
Sirte University,Q45817,1991,done,1990_2009
Skyline University Nigeria,Q77969869,2018,done,post_2010
Social Work Institute in Cairo,Q30294385,NA,done,NA
Sohag University,Q107209412,2006,done,1990_2009
Sokoine University of Agriculture,Q4005900,1984,done,1960_1989
Sokoto State University,Q16962164,2009,done,1990_2009
Sol Plaatje University,Q17090884,2014,done,post_2010
Solusi University,Q5308248,1894,done,pre_1960
Somali International University,Q20982515,NA,done,NA
Somali National University,Q278455,1954,done,pre_1960
Somali STEM Society,Q139771281,2017,done,post_2010
Somaliland University of Technology,Q7559188,2000,done,1990_2009
Soroti University,Q7563661,2015,done,post_2010
South African College of Applied Psychology,Q30294166,NA,done,NA
South African National Energy Development Institute,Q30262049,NA,done,NA
South African School of Motion Picture Medium and Live Performance,NA,NA,done,NA
South African Theological Seminary,Q7565803,NA,done,NA
South Eastern Kenya University,Q16258314,2013,done,post_2010
South Valley University,Q7568730,1995,done,1990_2009
Southern Africa Nazarene University,Q61931923,2010,done,post_2010
Sphinx University,Q60914723,NA,done,NA
Spiritan University Nneochi,NA,NA,done,NA
St Augustine College of South Africa,Q1497583,1999,done,1990_2009
St. Augustine International University,Q17379952,2011,done,post_2010
St. Augustine University of Tanzania,Q1765076,1998,done,1990_2009
St. Christopher Iba Mar Diop College of Medicine,NA,NA,done,NA
St. Francis University College of Health and Allied Sciences,Q16900521,NA,done,NA
St. John's University of Tanzania,Q7588856,1999,done,1990_2009
St. Joseph University In Tanzania,Q16900557,2011,done,post_2010
St. Lawrence University,Q1411093,1856,done,pre_1960
St. Mary's University,Q7590446,1852,done,pre_1960
St. Mary's University in Juba,Q7590451,2009,done,1990_2009
St. Paul's University,Q30294242,1989,done,1960_1989
Stafford University,Q48803129,2015,done,post_2010
Stalwart University Institute,Q135738621,2019,done,post_2010
State University of Medical and Applied Sciences,Q133812253,NA,done,NA
State University of Zanzibar,Q7603635,2002,done,1990_2009
Stella Maris Polytechnic,Q7607098,1988,done,1960_1989
Stellenbosch University,Q1066492,1866,done,pre_1960
Strathmore University,Q7622156,1961,done,1960_1989
Sudan Academy for Banking and Financial Sciences,Q50040766,1963,done,1960_1989
Sudan Academy of Sciences,NA,NA,done,NA
Sudan Childhood Diabetes Association,Q97041353,2003,done,1990_2009
Sudan International University,Q12204430,1990,done,1990_2009
Sudan Medical Specialization Board,Q50038979,1995,done,1990_2009
Sudan University of Science and Technology,Q458467,1932,done,pre_1960
Sudanese Universities Information Network,Q7633375,2004,done,1990_2009
Suez Canal University,Q1161619,1974,done,1960_1989
Suez University,Q12204432,2012,done,post_2010
Sule Lamido University Kafin Hausa,NA,NA,done,NA
"Summit University, Offa",Q107724041,2015,done,post_2010
Sunyani Technical University,Q630686,1983,done,1960_1989
Sup Management,Q30294399,NA,done,NA
Sup de Co Marrakech,Q3578437,1987,done,1960_1989
Supershine University,Q100955870,2014,done,post_2010
Surman College of Science and Technology,Q137204557,1984,done,1960_1989
SwissLink Higher Institute of Business & Technology,Q135738588,2017,done,post_2010
Taasisi ya Sanaa na Utamaduni Bagamoyo,Q20746231,2007,done,1990_2009
Tai Solarin University of Education,Q7675831,2005,done,1990_2009
Takoradi Technical University,Q1233332,1954,done,pre_1960
