name,wikidata_qid,founded_year,status,age_group
"Chukwuemeka Odumegwu Ojukwu University, Igbariam Campus",Q135398237,NA,done,NA
Claretian University of Nigeria,Q107724160,2021,done,post_2010
Clarke International University,Q116482965,2008,done,1990_2009
College of African Wildlife Management,Q5146612,1963,done,1960_1989
College of Agriculture Science and Technology,Q137204444,1977,done,1960_1989
College of Business Education,Q30294229,1965,done,1960_1989
"College of Education, Akwanga",Q107462934,1976,done,1960_1989
College of Electrical and Electronics Technology,Q138860535,1973,done,1960_1989
College of Science and Technology - University of Rwanda,NA,NA,done,NA
"College of Technical Science, Bani Walid",Q136448389,1996,done,1990_2009
College of Technical Sciences Derna,Q133811849,1992,done,1990_2009
Colleges of Medicine of South Africa,Q5146930,NA,done,NA
Comprehensive Autism and related Disabilities Education and Training,Q30286923,NA,done,NA
"Confluence University of Science and Technology, Osara",NA,NA,done,NA
Copperbelt University,Q339314,1987,done,1960_1989
Copperstone University,Q5168854,2004,done,1990_2009
Corona College of Education,Q107478104,2014,done,post_2010
Covenant University,Q742241,2002,done,1990_2009
Cranefield College,Q30294176,NA,done,NA
Crawford University,Q5182920,2005,done,1990_2009
Crescent University,Q5184436,2005,done,1990_2009
Cuttington University,Q5197010,1889,done,pre_1960
D.S. Adegbenro ICT Polytechnic,Q108597444,2006,done,1990_2009
DMI St. Eugene University,Q25043205,1984,done,1960_1989
DMI-St. John the Baptist University,Q100955848,2011,done,post_2010
Da Vinci Institute,Q30294182,NA,done,NA
Dalanj University,Q5210213,1995,done,1990_2009
Dale Kietzman University,Q135739051,2007,done,1990_2009
Damanhour University,Q3699436,2010,done,post_2010
Damelin,Q5212152,1943,done,pre_1960
Damietta University,Q5212540,2012,done,post_2010
Dar es Salaam Institute of Technology,Q5221955,1997,done,1990_2009
David Umahi Federal University of Health Sciences Uburu,Q130451603,2021,done,post_2010
Daystar University,Q5243437,1989,done,1960_1989
Debark University,Q77583759,NA,done,NA
Debre Berhan University,Q18350858,2007,done,1990_2009
Debre Markos University,Q5248546,1999,done,1990_2009
Debre Tabor University,Q77583268,2008,done,1990_2009
Dedan Kimathi University of Technology,Q5249724,1972,done,1960_1989
"Delta State College of Education, Mosogar",Q135738978,2002,done,1990_2009
Delta State Polytechnic Ogwashi-Uku,Q28458409,NA,done,NA
Delta State Polytechnic Otefe-Oghara,NA,NA,done,NA
Delta State University,Q3887993,1924,done,pre_1960
Delta State University of Science and Technology Ozoro,NA,NA,done,NA
Delta University for Science and Technology,Q12204426,2007,done,1990_2009
Dessie Health Science College,Q138860640,1964,done,1960_1989
Dhow Countries Music Academy,Q56294077,2002,done,1990_2009
Dilla University,Q20629650,1996,done,1990_2009
Dire Dawa University,Q5280195,2006,done,1990_2009
"Dominican University, Ibadan",NA,NA,done,NA
Dominion University College,Q100942462,2009,done,1990_2009
"Dominion University, Ibadan",NA,NA,done,NA
Dr. Hilla Limann Technical University,Q125019643,1999,done,1990_2009
Durban University of Technology,Q926710,2002,done,1990_2009
ENSIT,Q3798136,NA,done,NA
ESCA Ecole de Management,Q18213503,1992,done,1990_2009
ESEP-LE BERGER University,Q99747384,1999,done,1990_2009
East Africa Star University,Q100523641,2012,done,post_2010
East Africa University,Q5327643,1999,done,1990_2009
East African University,Q99287205,NA,done,NA
Eastern Africa Statistical Training Centre,Q134515438,1965,done,1960_1989
Eastern Technical University of Sierra Leone,NA,NA,done,NA
Eastern and Southern African Management Institute,Q5330584,1979,done,1960_1989
Ebonyi State University,Q5331946,1999,done,1990_2009
Eckernforde Tanga University,Q16966704,2010,done,post_2010
Ecole Centrale Casablanca,Q17626162,2013,done,post_2010
Ecole Mohammadia d'Ingénieurs,Q3577687,1959,done,pre_1960
Ecole Nationale Polytechnique de Constantine,Q17651592,2011,done,post_2010
"Ecole Nationale Supérieur des Télécommunications et des Technologies de l’Information et de la Communication, Abdelhafid Boussouf",NA,NA,done,NA
Ecole Nationale Supérieure de Biotechnologie Taoufik Khaznadar,Q104876326,2011,done,post_2010
Ecole Nationale Supérieure de Sciences Politiques,Q135739348,2009,done,1990_2009
Ecole Nationale Supérieure des Sciences de la Mer et de l'Aménagement du Littoral,Q30294184,2008,done,1990_2009
Ecole Nationale Supérieure des Technologies Avancées,Q135398220,2022,done,post_2010
Ecole Nationale d'Administration,Q273579,1945,done,pre_1960
Ecole Nationale d’Ingénieurs – Abderhamane Baba Touré,NA,NA,done,NA
Ecole Normale Supérieure d'Oran,Q138860142,2014,done,post_2010
Ecole Normale Supérieure of Laghouat,Q133811924,2011,done,post_2010
Ecole Supérieure d'Agronomie Mostaganem,Q124525859,2018,done,post_2010
Ecole Supérieure d’Economie Appliquée,NA,NA,done,NA
Ecole Supérieure en Sciences Biologiques d’Oran,Q133811043,2017,done,post_2010
Ecole de santé publique de Kinshasa,NA,NA,done,NA
Ecole supérieure en science et technologies de l'informatique et du numérique,Q100260499,2020,done,post_2010
Eden University,Q65080544,2010,done,post_2010
Edexcel University,Q100955836,2015,done,post_2010
Edna Adan University,Q85758593,NA,done,NA
Edo State University Uzairue,Q24254508,2016,done,post_2010
Eduardo Mondlane University,Q890884,1962,done,1960_1989
Education for All Campaign Network,Q137943856,2002,done,1990_2009
Eduvos,Q133812061,1979,done,1960_1989
Edwin Clark University,Q56274195,2015,done,post_2010
