inst_id,year,n_publications
https://openalex.org/I57664883,2016,1666
https://openalex.org/I57664883,2017,5760
https://openalex.org/I57664883,2018,1649
https://openalex.org/I57664883,2019,1854
https://openalex.org/I57664883,2020,1974
https://openalex.org/I57664883,2021,2003
https://openalex.org/I57664883,2022,2056
https://openalex.org/I57664883,2023,2099
https://openalex.org/I57664883,2024,2097
https://openalex.org/I57664883,2025,2150
https://openalex.org/I57664883,2026,857
https://openalex.org/I197907453,2018,1261
https://openalex.org/I197907453,2019,1342
https://openalex.org/I197907453,2020,1618
https://openalex.org/I197907453,2021,1974
https://openalex.org/I197907453,2022,1894
https://openalex.org/I197907453,2023,1956
https://openalex.org/I197907453,2024,1809
https://openalex.org/I197907453,2025,1923
https://openalex.org/I197907453,2026,796
https://openalex.org/I203765153,2018,599
https://openalex.org/I203765153,2019,656
https://openalex.org/I203765153,2020,672
https://openalex.org/I203765153,2021,670
https://openalex.org/I203765153,2022,731
https://openalex.org/I203765153,2023,747
https://openalex.org/I203765153,2024,758
https://openalex.org/I203765153,2025,798
https://openalex.org/I203765153,2026,321
https://openalex.org/I121596126,2021,894
https://openalex.org/I121596126,2022,988
https://openalex.org/I121596126,2023,1068
https://openalex.org/I121596126,2024,896
https://openalex.org/I121596126,2025,997
https://openalex.org/I121596126,2026,428
https://openalex.org/I161913731,2025,1136
https://openalex.org/I161913731,2026,414
https://openalex.org/I31079310,2025,597
https://openalex.org/I31079310,2026,217
https://openalex.org/I104941359,2025,1585
https://openalex.org/I104941359,2026,984
https://openalex.org/I184834183,2019,2673
https://openalex.org/I184834183,2020,3449
https://openalex.org/I184834183,2021,4361
https://openalex.org/I184834183,2022,4853
https://openalex.org/I184834183,2023,4901
https://openalex.org/I184834183,2024,4476
https://openalex.org/I184834183,2025,4573
https://openalex.org/I184834183,2026,1347
https://openalex.org/I52207611,2025,1340
https://openalex.org/I52207611,2026,458
https://openalex.org/I33926330,2020,742
https://openalex.org/I33926330,2021,757
https://openalex.org/I33926330,2022,1070
https://openalex.org/I33926330,2023,1275
https://openalex.org/I33926330,2024,1301
https://openalex.org/I33926330,2025,1344
https://openalex.org/I33926330,2026,454
https://openalex.org/I185571130,2019,1247
https://openalex.org/I185571130,2020,1480
https://openalex.org/I185571130,2021,1660
https://openalex.org/I185571130,2022,1604
https://openalex.org/I185571130,2023,1873
https://openalex.org/I185571130,2024,2167
https://openalex.org/I185571130,2025,2611
https://openalex.org/I185571130,2026,990
https://openalex.org/I4210155527,2025,750
https://openalex.org/I4210155527,2026,306
https://openalex.org/I100086675,2025,359
https://openalex.org/I100086675,2026,100
https://openalex.org/I501048437,2025,455
https://openalex.org/I501048437,2026,215
https://openalex.org/I56409017,2024,1255
https://openalex.org/I56409017,2025,1192
https://openalex.org/I56409017,2026,412
https://openalex.org/I4405256416,2026,0
https://openalex.org/I21215505,2026,382
https://openalex.org/I145019703,2025,906
https://openalex.org/I145019703,2026,286
https://openalex.org/I131155284,2022,892
https://openalex.org/I131155284,2023,762
https://openalex.org/I131155284,2024,726
https://openalex.org/I131155284,2025,788
https://openalex.org/I131155284,2026,392
https://openalex.org/I4387154021,2026,126
https://openalex.org/I3129804457,2025,429
https://openalex.org/I3129804457,2026,124
https://openalex.org/I4387153077,2025,434
https://openalex.org/I4387153077,2026,86
https://openalex.org/I84524832,2011,1085
https://openalex.org/I84524832,2012,1267
https://openalex.org/I84524832,2016,2417
https://openalex.org/I84524832,2017,2336
https://openalex.org/I84524832,2018,2517
https://openalex.org/I84524832,2019,2879
https://openalex.org/I84524832,2020,3757
https://openalex.org/I84524832,2021,4541
https://openalex.org/I84524832,2022,5185
https://openalex.org/I84524832,2023,4839
https://openalex.org/I84524832,2024,5196
https://openalex.org/I84524832,2025,5242
https://openalex.org/I84524832,2026,2151
https://openalex.org/I138164181,2016,938
https://openalex.org/I138164181,2017,889
https://openalex.org/I138164181,2018,856
https://openalex.org/I138164181,2019,1038
https://openalex.org/I138164181,2020,1144
https://openalex.org/I138164181,2021,1230
https://openalex.org/I138164181,2022,1268
https://openalex.org/I138164181,2023,1374
https://openalex.org/I138164181,2024,1205
https://openalex.org/I138164181,2025,1501
https://openalex.org/I138164181,2026,569
https://openalex.org/I134359838,2017,377
https://openalex.org/I134359838,2018,396
https://openalex.org/I134359838,2019,456
https://openalex.org/I134359838,2020,814
https://openalex.org/I134359838,2021,946
https://openalex.org/I134359838,2022,1275
https://openalex.org/I134359838,2023,1478
https://openalex.org/I134359838,2024,1600
https://openalex.org/I134359838,2025,1749
https://openalex.org/I134359838,2026,743
https://openalex.org/I171210897,2016,1338
https://openalex.org/I171210897,2017,1493
https://openalex.org/I171210897,2018,1607
https://openalex.org/I171210897,2019,1800
https://openalex.org/I171210897,2020,2098
https://openalex.org/I171210897,2021,2585
https://openalex.org/I171210897,2022,2743
https://openalex.org/I171210897,2023,2808
https://openalex.org/I171210897,2024,2516
https://openalex.org/I171210897,2025,2357
https://openalex.org/I171210897,2026,958
https://openalex.org/I200432940,2024,605
https://openalex.org/I200432940,2025,625
https://openalex.org/I200432940,2026,144
https://openalex.org/I163137577,2023,700
https://openalex.org/I163137577,2024,439
https://openalex.org/I163137577,2025,689
https://openalex.org/I163137577,2026,430
