inst_id,year,n_citations
I4210131124,2022,74
I4210131124,2023,89
I4210131124,2024,17
I4210131124,2025,2
I4210131124,2026,1
I1322597698,2006,4889
I1322597698,2007,7295
I1322597698,2008,13057
I1322597698,2009,9204
I1322597698,2010,13809
I1322597698,2011,16403
I1322597698,2012,21597
I1322597698,2013,27249
I1322597698,2014,29592
I1322597698,2015,22359
I1322597698,2016,22099
I1322597698,2017,27200
I1322597698,2018,25361
I1322597698,2019,20079
I1322597698,2020,20140
I1322597698,2021,9713
I1322597698,2022,5834
I1322597698,2023,4706
I1322597698,2024,2450
I1322597698,2025,768
I1322597698,2026,20
I2800664390,2006,11
I2800664390,2007,24
I2800664390,2008,NA
I2800664390,2009,18
I2800664390,2010,28
I2800664390,2011,75
I2800664390,2012,293
I2800664390,2013,31
I2800664390,2014,1
I2800664390,2015,460
I2800664390,2016,95
I2800664390,2017,1212
I2800664390,2018,NA
I2800664390,2019,10
I2800664390,2020,170
I2800664390,2021,258
I2800664390,2022,44
I2800664390,2023,6
I2800664390,2024,18
I2800664390,2025,6
I2800664390,2026,0
I3129459759,2006,47
I3129459759,2007,9
I3129459759,2008,4
I3129459759,2009,4
I3129459759,2010,32
I3129459759,2011,1
I3129459759,2012,27
I3129459759,2013,26
I3129459759,2014,179
I3129459759,2015,126
I3129459759,2016,18
I3129459759,2017,0
I3129459759,2018,119
I3129459759,2019,40
I3129459759,2020,153
I3129459759,2021,69
I3129459759,2022,336
I3129459759,2023,231
I3129459759,2024,114
I3129459759,2025,54
I3129459759,2026,2
I24835296,2006,0
I24835296,2007,25
I24835296,2008,33
I24835296,2009,0
I24835296,2010,121
I24835296,2011,45
I24835296,2012,280
I24835296,2013,167
I24835296,2014,176
I24835296,2015,139
I24835296,2016,290
I24835296,2017,202
I24835296,2018,295
I24835296,2019,328
I24835296,2020,1347
I24835296,2021,743
I24835296,2022,872
I24835296,2023,576
I24835296,2024,654
I24835296,2025,251
I24835296,2026,9
I3130155654,2006,NA
I3130155654,2007,199
I3130155654,2008,37
I3130155654,2009,2
I3130155654,2010,0
I3130155654,2011,7
I3130155654,2012,177
I3130155654,2013,75
I3130155654,2014,67
I3130155654,2015,29
I3130155654,2016,69
I3130155654,2017,146
I3130155654,2018,128
I3130155654,2019,222
I3130155654,2020,418
I3130155654,2021,503
I3130155654,2022,659
I3130155654,2023,665
I3130155654,2024,492
I3130155654,2025,88
I3130155654,2026,6
I4405261048,2006,NA
I4405261048,2007,NA
I4405261048,2008,NA
I4405261048,2009,NA
I4405261048,2010,NA
I4405261048,2011,NA
I4405261048,2012,NA
I4405261048,2013,NA
I4405261048,2014,NA
I4405261048,2015,NA
I4405261048,2016,NA
I4405261048,2017,NA
I4405261048,2018,NA
I4405261048,2019,NA
I4405261048,2020,NA
I4405261048,2021,NA
I4405261048,2022,NA
I4405261048,2023,NA
I4405261048,2024,NA
I4405261048,2025,NA
I4405261048,2026,NA
I865572129,2006,0
I865572129,2007,146
I865572129,2008,51
I865572129,2009,103
I865572129,2010,66
I865572129,2011,76
I865572129,2012,284
I865572129,2013,661
I865572129,2014,850
I865572129,2015,1107
I865572129,2016,979
I865572129,2017,1109
I865572129,2018,2853
I865572129,2019,2917
I865572129,2020,9001
I865572129,2021,10830
I865572129,2022,9544
I865572129,2023,8426
I865572129,2024,5989
I865572129,2025,2194
I865572129,2026,37
I106980716,2006,63
I106980716,2007,66
I106980716,2008,53
I106980716,2009,12
I106980716,2010,163
I106980716,2011,203
I106980716,2012,179
I106980716,2013,299
I106980716,2014,190
I106980716,2015,367
I106980716,2016,961
I106980716,2017,316
I106980716,2018,372
I106980716,2019,514
I106980716,2020,506
I106980716,2021,375
I106980716,2022,331
I106980716,2023,201
I106980716,2024,146
I106980716,2025,125
I106980716,2026,1
I4210129636,2006,2
I4210129636,2007,5
I4210129636,2008,0
I4210129636,2009,105
I4210129636,2010,0
I4210129636,2011,487
I4210129636,2012,182
I4210129636,2013,760
I4210129636,2014,1284
I4210129636,2015,888
I4210129636,2016,1410
I4210129636,2017,2130
I4210129636,2018,2345
I4210129636,2019,5027
I4210129636,2020,5893
I4210129636,2021,7819
I4210129636,2022,9933
I4210129636,2023,7936
I4210129636,2024,6030
I4210129636,2025,2353
I4210129636,2026,59
I4537092,2006,12927
I4537092,2007,17547
I4537092,2008,9714
I4537092,2009,14235
I4537092,2010,15137
I4537092,2011,15988
I4537092,2012,18845
I4537092,2013,24620
I4537092,2014,35447
I4537092,2015,39607
I4537092,2016,42401
I4537092,2017,40735
I4537092,2018,36660
I4537092,2019,42871
I4537092,2020,43438
I4537092,2021,43388
I4537092,2022,37102
I4537092,2023,25430
I4537092,2024,15199
I4537092,2025,5852
I4537092,2026,125
I28653996,2006,534
I28653996,2007,611
I28653996,2008,862
