year,rank,university_name,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Faculty Ratio,International Research
2015,1,Massachusetts Institute of Technology (MIT),100,100,100,100,,95.5,100,
2015,2,Harvard University,100,100,98.6,100,,76,99.9,
2015,=3,University of Cambridge,100,93.7,100,100,,96.6,96.2,
2015,=3,Stanford University,100,99.9,99.5,100,,72.8,97.6,
2015,5,California Institute of Technology (Caltech),99.8,100,100,89.6,,85.2,90.2,
2015,6,University of Oxford,100,88.9,100,100,,96.6,97.8,
2015,7,UCL,99.9,88,98.6,99.8,,99.9,95.5,
2015,8,Imperial College London,99.9,79.6,99.9,100,,100,100,
2015,9,ETH Zurich,99.9,98.8,78.6,99,,98,100,
2015,10,University of Chicago,99.9,91.5,93.8,96.3,,81.6,73.4,
2015,11,Princeton University,100,100,92.9,98.5,,68.2,47.2,
2015,12,National University of Singapore (NUS),100,78.9,92.9,100,,92.5,100,
2015,13,"Nanyang Technological University, Singapore (NTU Singapore)",95.3,86.5,94.2,97.5,,94,100,
2015,14,EPFL – École polytechnique fédérale de Lausanne,89.1,99.3,93.6,93.6,,100,100,
2015,15,Yale University,100,71.3,100,100,,65.5,89.9,
2015,16,Johns Hopkins University,97.2,84.9,100,74,,71.2,96.6,
2015,17,Cornell University,99.9,97.1,73.9,96.7,,66,90.2,
2015,18,University of Pennsylvania,98.8,80.5,100,97.4,,66.6,52.9,
2015,=19,King's College London,95.2,77.5,89.9,95.9,,98.2,95.4,
2015,=19,Australian National University (ANU),99.6,89.4,68.9,94.4,,96.7,100,
2015,21,The University of Edinburgh,99.7,71.5,85.3,98,,97.9,93.1,
2015,22,Columbia University,100,67,100,99.4,,89.8,33,
2015,23,"Ecole normale supérieure, Paris",89.6,100,91.9,78.9,,82.6,55.6,
2015,24,McGill University,99.1,70.4,80.8,94.7,,92.3,88.3,
2015,25,Tsinghua University,99.6,84.2,87.5,99.5,,36.1,47.8,
2015,26,"University of California, Berkeley (UCB)",100,99.9,46.9,99.9,,79.3,96.8,
2015,27,"University of California, Los Angeles (UCLA)",100,89.6,74.2,99.7,,49,57.4,
2015,28,The Hong Kong University of Science and Technology,94.3,89.4,65.8,91.8,,97,100,
2015,29,Duke University,96.4,85.4,99.8,84.6,,57.4,n/a,
2015,=30,The University of Hong Kong,99.5,56.3,84.5,97.4,,98.6,100,
2015,=30,University of Michigan-Ann Arbor,99.9,84.5,81.3,91.4,,42.2,65.4,
2015,32,Northwestern University,94,96.4,92.3,81.1,,51.7,n/a,
2015,33,The University of Manchester,99.3,61.9,79.4,99.9,,97.1,83.9,
2015,34,University of Toronto,99.9,57.3,82.6,95.6,,90.3,97.1,
2015,35,The London School of Economics and Political Science (LSE),93.8,77.6,65,100,,100,100,
2015,36,Seoul National University,99.2,79,84.2,96.6,,n/a,30.2,
2015,37,University of Bristol,92.1,69,79.7,98.2,,81.2,86.1,
2015,38,Kyoto University,99.9,71.5,94.1,96.6,,n/a,n/a,
