name,year,inst_id,country_code,type,n_publication,ace_1,ace_2,deltas_1,gdp_cap,gdp_growth,internet,electricity,tertiary_enrol,education_exp,rd_exp,n_citations,founded_date,researchers_per_million,n_international_any,international_share_any,n_inter_african,inter_african_share,n_extra_african,extra_african_share
Jigjiga University,2020,I4210123766,ETH,education,149,0,0,0,768.705424485209,6.05953089054807,16.06959915,51.1,NA,4.0905654220699,NA,5137,2007,NA,44,0.29333333333333333,9,0.06,42,0.28
Jigjiga University,2021,I4210123766,ETH,education,146,0,0,0,790.65701959778,5.64153069257077,16.6981031,54.2,NA,4.06524874309096,NA,2539,2007,NA,60,0.410958904109589,9,0.06164383561643835,58,0.3972602739726027
Jigjiga University,2022,I4210123766,ETH,education,241,0,0,0,811.177729326201,5.32175988403378,17.9836998,55.4,NA,3.73649512188829,NA,2642,2007,NA,86,0.35390946502057613,18,0.07407407407407407,84,0.345679012345679
Jigjiga University,2023,I4210123766,ETH,education,305,0,0,0,842.44660489404,6.59424599357075,20.33749962,55.4,NA,2.9272447768927,NA,3013,2007,NA,98,0.3223684210526316,25,0.08223684210526316,86,0.28289473684210525
Jigjiga University,2024,I4210123766,ETH,education,454,0,0,0,883.458588619291,7.61277447511073,21.94129944,NA,NA,2.2978069565991,NA,2405,2007,NA,147,0.3223684210526316,33,0.07236842105263158,132,0.2894736842105263
Jigjiga University,2025,I4210123766,ETH,education,534,0,0,0,NA,NA,NA,NA,NA,NA,NA,2050,2007,NA,212,0.39332096474953615,69,0.1280148423005566,173,0.3209647495361781
Jimma University,2006,I1443707,ETH,education,60,0,0,0,313.013896721503,10.8347270679373,0.310592656856176,18.6,NA,5.49094009399414,NA,811,1999,NA,12,0.2,1,0.01666666666666666,12,0.2
Jimma University,2007,I1443707,ETH,education,52,0,0,0,338.799064654308,11.4561670019891,0.37,20.3,NA,5.45110988616943,0.17089,2303,1999,19.72278,17,0.3269230769230769,2,0.03846153846153846,16,0.3076923076923077
Jimma University,2008,I1443707,ETH,education,105,0,0,0,364.642208155735,10.7885216870332,0.449999988,22,3.53211998939514,5.40819978713989,NA,3238,1999,NA,32,0.29906542056074764,5,0.04672897196261682,28,0.2616822429906542
Jimma University,2009,I1443707,ETH,education,110,0,0,0,385.632419711374,8.8025531990487,0.540000021,23.7,5.09216022491455,4.42207002639771,NA,2965,1999,NA,37,0.3333333333333333,6,0.05405405405405406,34,0.3063063063063063
Jimma University,2010,I1443707,ETH,education,138,0,0,0,421.898622378633,12.5505383347633,0.75,25.5,6.96482992172241,4.49659013748169,0.24137,3713,1999,41.46809,62,0.4492753623188406,10,0.07246376811594203,58,0.42028985507246375
Jimma University,2011,I1443707,ETH,education,225,0,0,0,455.909628648555,11.1782962297008,1.100000024,23,7.27566003799438,5.4857702255249,NA,8718,1999,NA,76,0.336283185840708,13,0.05752212389380531,71,0.3141592920353982
Jimma University,2012,I1443707,ETH,education,209,0,0,0,481.639999909808,8.64781163513926,2.9000000950000002,29,7.62416982650757,5.56677007675171,NA,8214,1999,NA,82,0.3923444976076555,5,0.02392344497607655,81,0.3875598086124402
Jimma University,2013,I1443707,ETH,education,260,0,0,0,518.324662208106,10.5822700502552,4.599999905,30.8,NA,4.4985499382019,0.60474000000000006,9076,1999,43.9301,92,0.3524904214559387,12,0.04597701149425287,89,0.34099616858237547
Jimma University,2014,I1443707,ETH,education,307,0,0,0,556.362532243867,10.2574929627477,7.699999809,27.2,5.9192507771213,4.60201978683472,NA,11447,1999,NA,100,0.3246753246753247,15,0.0487012987012987,96,0.3116883116883117
Jimma University,2015,I1443707,ETH,education,358,0,0,0,597.912113218663,10.3924630141307,13.8551755555556,29,NA,4.73791868878759,NA,10627,1999,NA,118,0.3232876712328767,17,0.04657534246575343,112,0.30684931506849317
Jimma University,2016,I1443707,ETH,education,374,0,0,0,636.835680951429,9.43348265981905,15.3669238595896,42.9,NA,5.06151399998447,NA,17322,1999,NA,158,0.42133333333333334,31,0.08266666666666667,143,0.38133333333333336
Jimma University,2017,I1443707,ETH,education,521,0,0,0,678.98541915757,9.56418965754014,15.62440014,44.3,NA,5.49905076025271,0.27437,26194,1999,89.03843,186,0.35361216730038025,33,0.06273764258555133,182,0.34600760456273766
Jimma University,2018,I1443707,ETH,education,522,0,0,0,705.96881207336,6.81614778557282,15.88619995,44.8,NA,5.22011189522399,NA,13776,1999,NA,186,0.35361216730038025,33,0.06273764258555133,175,0.33269961977186313
Jimma University,2019,I1443707,ETH,education,840,0,0,0,744.702789753973,8.36408573314054,15.98460007,48,NA,4.48086946127054,NA,19249,1999,NA,292,0.3459715639810427,60,0.07109004739336493,268,0.3175355450236967
Jimma University,2020,I1443707,ETH,education,1154,0,0,0,768.705424485209,6.05953089054807,16.06959915,51.1,NA,4.0905654220699,NA,18550,1999,NA,357,0.30775862068965515,71,0.06120689655172413,336,0.2896551724137931
Jimma University,2021,I1443707,ETH,education,1267,0,0,0,790.65701959778,5.64153069257077,16.6981031,54.2,NA,4.06524874309096,NA,22405,1999,NA,425,0.33490937746256894,83,0.06540583136327817,398,0.3136327817178881
