year,rank,university_name,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Faculty Ratio,International Research
2014,1,Massachusetts Institute of Technology (MIT),100,100,100,100,,95.6,99.8,
2014,=2,University of Cambridge,100,97.9,99.9,100,,96.5,95.6,
2014,=2,Imperial College London,99.9,96.2,99.8,100,,99.7,100,
2014,4,Harvard University,100,100,99.7,100,,83.8,98.1,
2014,=5,University of Oxford,100,96.6,100,100,,95,98.4,
2014,=5,UCL,99.9,97.4,99,99.4,,100,96.8,
2014,7,Stanford University,100,100,98.5,100,,74.1,92.6,
2014,8,California Institute of Technology (Caltech),99.6,100,100,82.3,,86,90.9,
2014,9,Princeton University,100,99.5,98.4,97.7,,66.6,74.2,
2014,10,Yale University,100,92.2,100,100,,62.7,93.2,
2014,11,University of Chicago,99.9,99.2,95.3,96.7,,66.9,67.8,
2014,12,ETH Zurich,99.9,97.1,79.7,98.6,,98.1,100,
2014,13,University of Pennsylvania,98.5,95.9,99.9,96.8,,67.3,54.4,
2014,=14,Columbia University,100,98.6,95.4,99.9,,86,15.6,
2014,=14,Johns Hopkins University,96.1,99.9,100,74.9,,67.6,92.3,
2014,16,King's College London,95.5,87.3,90.3,93.5,,98.1,94,
2014,=17,The University of Edinburgh,99.8,87.9,79.4,98.2,,97.5,90.3,
2014,=17,EPFL – École polytechnique fédérale de Lausanne,89.8,94,94.4,90.3,,100,100,
2014,19,Cornell University,99.7,99.7,75.2,96.4,,65.6,92.6,
2014,20,University of Toronto,100,87.4,78.8,96.8,,88.6,96.9,
2014,21,McGill University,99.3,76.6,90.2,96.4,,90.7,80.1,
2014,22,National University of Singapore (NUS),100,63.8,92.1,100,,94.9,100,
2014,23,University of Michigan-Ann Arbor,99.8,97.2,85,90.2,,33.3,61.9,
2014,24,"Ecole normale supérieure, Paris",90.3,98.4,98.1,74.6,,63.7,79,
2014,=25,Australian National University (ANU),99.6,74.2,76.9,95.8,,96.4,100,
2014,=25,Duke University,95.5,99.5,99.8,85,,41.8,15.9,
2014,27,"University of California, Berkeley (UCB)",100,99.6,52.4,100,,81.9,96.8,
2014,28,The University of Hong Kong,99.3,57.2,89.1,96.7,,98.4,100,
2014,29,University of Bristol,93.7,80.1,82.5,99.1,,82.2,84.7,
2014,30,The University of Manchester,99.4,65.3,74.4,100,,96.3,84.1,
2014,=31,The University of Tokyo,100,81.6,91.3,99.8,,26.4,11.9,
2014,=31,Seoul National University,99,74.4,85.6,96.8,,59.9,44.9,
2014,33,The University of Melbourne,99.8,89.1,48.7,100,,97,79.6,
2014,34,Northwestern University,93.1,99.9,86.9,80,,53.1,11.6,
2014,35,Ecole Polytechnique,74.5,80.3,99.5,98.7,,91.9,90.8,
